run_mode,config,model,prompt_id,input,turboquant_enabled,turboquant_bits,probe_enabled,probe_confidence,skipped_generation,tokens_avoided,latency_ms,estimated_peak_memory_mb,output_chars,selected_url,status,notes
dry_run,baseline,google/gemma-4-E2B-it,debug_gpu,/debug GPU tray reseat boot failure,False,,False,0.963,False,0,2298,11812,22,wiki://gpu-tray-reseat,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,baseline,google/gemma-4-E2B-it,debug_nvme,/debug NVMe drive missing from bay inventory,False,,False,0.963,False,0,2316,11814,25,wiki://nvme-drive-missing,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,baseline,google/gemma-4-E2B-it,debug_thermal,/debug CPU thermal throttle warning and fan ramp,False,,False,0.963,False,0,2334,11815,27,wiki://cpu-thermal-throttle,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,baseline,google/gemma-4-E2B-it,ask_gpu,/ask explain GPU tray reseat boot failure using wiki sources,False,,False,0.0101,False,0,5322,11818,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,baseline,google/gemma-4-E2B-it,ask_storage,/ask summarize NVMe drive missing and storage controller cache checks,False,,False,0.0276,False,0,5322,11818,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant,google/gemma-4-E2B-it,debug_gpu,/debug GPU tray reseat boot failure,True,4,False,0.963,False,0,2068,8505,22,wiki://gpu-tray-reseat,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant,google/gemma-4-E2B-it,debug_nvme,/debug NVMe drive missing from bay inventory,True,4,False,0.963,False,0,2084,8506,25,wiki://nvme-drive-missing,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant,google/gemma-4-E2B-it,debug_thermal,/debug CPU thermal throttle warning and fan ramp,True,4,False,0.963,False,0,2101,8507,27,wiki://cpu-thermal-throttle,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant,google/gemma-4-E2B-it,ask_gpu,/ask explain GPU tray reseat boot failure using wiki sources,True,4,False,0.0101,False,0,4790,8509,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant,google/gemma-4-E2B-it,ask_storage,/ask summarize NVMe drive missing and storage controller cache checks,True,4,False,0.0276,False,0,4790,8509,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,probe,google/gemma-4-E2B-it,debug_gpu,/debug GPU tray reseat boot failure,False,,True,0.963,True,14,118,11812,22,wiki://gpu-tray-reseat,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,probe,google/gemma-4-E2B-it,debug_nvme,/debug NVMe drive missing from bay inventory,False,,True,0.963,True,14,122,11814,25,wiki://nvme-drive-missing,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,probe,google/gemma-4-E2B-it,debug_thermal,/debug CPU thermal throttle warning and fan ramp,False,,True,0.963,True,14,126,11815,27,wiki://cpu-thermal-throttle,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,probe,google/gemma-4-E2B-it,ask_gpu,/ask explain GPU tray reseat boot failure using wiki sources,False,,True,0.0101,False,0,5322,11818,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,probe,google/gemma-4-E2B-it,ask_storage,/ask summarize NVMe drive missing and storage controller cache checks,False,,True,0.0276,False,0,5322,11818,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant_probe,google/gemma-4-E2B-it,debug_gpu,/debug GPU tray reseat boot failure,True,4,True,0.963,True,14,112,8505,22,wiki://gpu-tray-reseat,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant_probe,google/gemma-4-E2B-it,debug_nvme,/debug NVMe drive missing from bay inventory,True,4,True,0.963,True,14,116,8506,25,wiki://nvme-drive-missing,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant_probe,google/gemma-4-E2B-it,debug_thermal,/debug CPU thermal throttle warning and fan ramp,True,4,True,0.963,True,14,120,8507,27,wiki://cpu-thermal-throttle,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant_probe,google/gemma-4-E2B-it,ask_gpu,/ask explain GPU tray reseat boot failure using wiki sources,True,4,True,0.0101,False,0,4790,8509,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
dry_run,turboquant_probe,google/gemma-4-E2B-it,ask_storage,/ask summarize NVMe drive missing and storage controller cache checks,True,4,True,0.0276,False,0,4790,8509,19,,dry_run,"missing optional packages: torch, transformers, turboquant"
